Credit_History_Score,TotalIncome_Log,LoanAmount_Risk,Debt_Burden,Dependents_Num,Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Loan_Status
0.3975158712863277,-1.0871503416926973,-1.0378026477222717,-0.1260585070871572,-0.7485862381397372,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
0.3975158712863277,-1.0529391914624688,-0.6104380125266031,-0.1260585070871572,0.25020681329127087,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
-2.5156228272448207,-0.2775760673881579,0.03060894026689968,-0.1260585070871572,1.248999864722279,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
-2.5156228272448207,-0.6377967199674657,-0.4086269347953152,0.5176674863475467,0.25020681329127087,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
0.3975158712863277,-0.35467180129959347,0.03060894026689968,-0.1260585070871572,-0.7485862381397372,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
0.3975158712863277,-0.8258212633410239,-0.5985667726600568,-0.1260585070871572,1.248999864722279,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
0.3975158712863277,0.16341601487979301,-1.0378026477222717,-0.1260585070871572,-0.7485862381397372,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
0.3975158712863277,-0.4814049874226906,-1.0378026477222717,-0.1260585070871572,-0.7485862381397372,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1
0.3975158712863277,0.43642267257179035,0.5529434943949391,-0.1260585070871572,-0.7485862381397372,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
0.3975158712863277,1.0188080273341589,1.2770891262542663,-0.1260585070871572,-0.7485862381397372,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
0.3975158712863277,3.4263154009562737,0.05435141999999238,-0.1260585070871572,0.25020681329127087,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
0.3975158712863277,1.5540400650897825,-0.23055833679711998,-0.1260585070871572,-0.7485862381397372,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
0.3975158712863277,-0.5163668054687787,-0.6816654517258812,-0.1260585070871572,0.25020681329127087,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
0.3975158712863277,0.681523698711031,0.33926117679710477,-0.1260585070871572,-0.7485862381397372,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
0.3975158712863277,-0.3282380791591956,-0.26617205639675906,-0.1260585070871572,1.248999864722279,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1
0.3975158712863277,0.6265339077809003,1.3958015249197298,-0.1260585070871572,-0.7485862381397372,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.3975158712863277,1.218361821524527,0.43423109572947555,-0.1260585070871572,-0.7485862381397372,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
0.3975158712863277,0.4094913292558207,-0.3255282557294908,-0.1260585070871572,-0.7485862381397372,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
